"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"G9PPQJPX","book","1969","Díaz Sánchez, Ramón","Cumboto","","978-0-292-78406-2","","","","","1969","2025-04-10 19:30:02","2025-04-10 19:30:02","","","","","","","","","tr","","","","University of Texas Press","Texas, EEUU","eng","","","","","https://www.worldcat.org/title/cumboto/oclc/1131228305&referer=brief_results","","Translators: _:n2397 Venezuela","<div data-schema-version=""8""><p>I imagined thousands of fantastic things, and my nights were filled with erotic visions. There she was, not in the city but in the deep jungle, writing and gleaming at the center of a group of naked Negroes. She was dancing to the beat of the deep drums, whose music took on Beethoven’s rich harmony and yet retained all their telluric vigor. I knew that this was a strange and absurd synthesis, and yet in my dream I heard it happen. It was like a monstrous hybrid--of a dolphin or an albatross and a panther, say. It was so powerful that I was swept up in a kind of whirlwind, and I twisted and vibrated like a bow when its strings snaps. This was the goal toward which the uncontrollable, fiery cataract of my life was rushing. The dream reoccurred many times; it was the work of a clever succubus who came to my cot regularly to conduct her oneiric concert.</p> </div>","/home/febres/Zotero/storage/T2HACDB9/cumboto-eng.jpg","","","","","","Upton, John","","","","","","","","","","","","","","","","","1969","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X32MZMQR","book","2004","Durán Ayanegui, Fernando","Cuentos y relatos escogidos","","978-9977-23-788-6","","","","","2004","2025-04-10 20:00:11","2025-04-10 20:00:11","","","","","","","","Cuentos y relatos escogidos de Fernando Durán Ayanegui","","","","","Editorial Costa Rica","San José, Costa Rica","spa","","","","","https://www.worldcat.org/title/cuentos-y-relatos-escogidos-de-fernando-duran-ayanegui/oclc/470282274&referer=brief_results","","Costa Rica","<div data-schema-version=""8""><p>Como casi todo en mi niñez, esto aconteció en Alajuela y no puedo adivinar qué alimento o qué dolencia provocó la diarrea de mi pariente. Pero lo cierto es que, por hallarse cerca de ahí &nbsp;en el momento del apuro, se vio obligado a pedir permiso para utilizar, aquella tarde de julio de 1950, el excusado de mi casa. Como era lo común entonces, esa íntima facilidad estaba situada en el fondo del patio, y la frugalidad de la época hacía del papel higiénico algo suntuoso, que los pobres sustituíamos con hojas de diarios atrasados, meticulosamente recortadas en cuatro de modo que en el ventilado cubículo siempre había un grueso gancho de alambre del que colgaba un rimero de trozos de papel periódico.</p> <p>(…)</p> <p>--Negra, yo creo que esto le puede servir al negrito.</p> <p>El “negrito” lo era yo por cuenta de mi tatarabuelo africano que fue esclavo cortador de caña en Jamaica, y no estando para mí claro en aquel momento de dónde había sacado Daniel lo que a su juicio me habría de ser útil, di rienda suelta a mi curiosidad y me desenjaboné tan rápidamente como pude. Cuando salí del baño ya Daniel había partido, pero ahí estaba mi madre leyendo con interés un pedazo de papel periódico que me tendió de inmediato:</p> </div>","/home/febres/Zotero/storage/E99EDCK3/cuentos-duran.jpg","","","","","","","","","","","","","","","","","","","","","","","2004","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R4H2INMT","book","2010","Albújar, Enrique López","Cuentos andinos","","","","","https://biblioteca.agustinos.pe/opac_css/doc_num.php?explnum_id=2139","","2010","2025-04-10 20:00:11","2025-07-10 14:26:16","","","","","","","","","","","","","Peisa","Lima","spa","","","Epub Libre","http://epublibre.org","https://www.worldcat.org/title/cuentos-andinos/oclc/1187071622&referer=brief_results","","Perú","<div data-schema-version=""8""><p>Se diría que el indio gozaba con esta vida de inquietud y peligro, que su naturaleza fuerte y bravía necesitaba de estas persecuciones violentas, en las que, mientras sus perseguidores desplegaban toda la habilidad de un cazador apasionado, él desplegaba toda la ferocidad del tigre y toda la astucia del zorro. De aquí que la persecución se convirtiese en una especie de duelo a muerte, en el que, más que la vida misma, lo que más se temía perder era el triunfo. Y cada fracaso era un reclamo más para el bandolero, cuya triste celebridad agrandábase hasta circundar su figura de una aureola romántica.</p> </div>","/home/febres/Zotero/storage/9AGYFB2B/enrique-lopez-albujar-cuentos-andinos.jpg","","","","","","","","","","","","","","","","","","","","","","","1924","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F6YQEDXC","book","1954","Bass, Nelson Estupiñán","Cuando los guayacanes florecían","","","","","","","1954","2025-04-10 20:00:11","2025-07-10 14:26:20","","","","","","","","","","","","","Casa de la Cultura Ecuatoriana","Quito","spa","","","","","https://www.worldcat.org/title/cuando-los-guayacanes-florecian/oclc/253770281?referer=di&ht=edition","","Ecuador","<div data-schema-version=""8""><p>En una esquina del dormitorio, con la cabeza entre las manos, sentado al borde de su cama de madera, y retardado en el arreglo de su equipo, Gabriel Simbaña, indio metido a soldado de línea por el afán de salir de su aldea de la Sierra y no vivir la vida miserable de los otros, lloraba desconsoladamente. Recordaba que se había enrolado en el ejército, porque no quiso seguir la suerte de su padre, envejecido en la hacienda, casi desnudo y sin alcanzar a pagar jamás la cuenta al patrón. Recordaba el dolor que había sentido, --ah, cómo iba a poder olvidarlo!,-- cuando había visto que el látigo inclemente del patrón abría surcos de sangre en la espalda agobiada del viejo, aquel día que el mayordomo descubrió que su padre se había hurtado un saco de maíz. Fue en ese invierno duro y penoso, en que el hambre parecía haberse puesto de acuerdo con el patrón para hacer más amarga la vida de los indios. Recordaba ese loco anhelo de venir a la Costa, de vivir en una &nbsp;tierra distante, a donde no pudiera llegar el látigo ensangrentado del patrón.</p> </div>","/home/febres/Zotero/storage/AWJ2SYTL/guacayanes.jpg","","","","","","","","","","","","","","","","","","","","","","","1954","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PBR9R8KV","book","1949","Salas, Virginia Brindis de","Cien cárceles de amor","","","","","https://ia601705.us.archive.org/33/items/cien-carceles-de-amor-virginia-brindis-de-salas/Cien%20c%C3%A1rceles%20de%20amor%20-%20Virginia%20Brindis%20de%20Salas.pdf","","1949","2025-04-10 20:00:11","2025-07-10 14:26:42","","","52","","","","","","","","","","Compañía Impresora","Montevideo","spa","","","Autores UY","https://archive.org/details/autores","https://www.worldcat.org/title/cien-carceles-de-amor/oclc/16856042&referer=brief_results","","Uruguay","<div data-schema-version=""8""><p>Me cabe el cañaveral</p> <p>en cuatro dedos de ron.</p> <p>Poco paga el yanqui ya</p> <p>por este millón de canas</p> <p>que el negro sembró y corto.</p> <p>Mas no me trago este trago,</p> <p>porque es trago de sudor.</p> <p>Aquí el borracho es marino,</p> <p>pero si se pone a andar</p> <p>se ve que es de tierra el mar.</p> <p>La ola suelta de un trago</p> <p>aquí siempre es de huracán</p> </div>","/home/febres/Zotero/storage/RH3AUY4M/cien_carceles_virginia_Morel.jpg","","","","","","","","","","","","","","","","","","","","","","","1949","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MMSKVYA8","book","2010","Zapata Olivella, Manuel","Changó, el gran putas","","978-958-753-006-3","","","https://babel.banrepcultural.org/digital/api/collection/p17054coll7/id/2/download","","2010","2025-04-10 20:00:11","2025-04-10 20:00:11","","","667","","","","","","","","","","Ministerio de Cultura","Bogotá","spa","","","Biblioteca Virtual del Banco de la República","https://babel.banrepcultural.org/","https://www.worldcat.org/title/chango-el-gran-putas/oclc/879738826&referer=brief_results","PQ 8179 .Z38 C53 2010","Colombia","<div data-schema-version=""8""><p>Sube a bordo de esta novela como uno de los tantos millones de africanos prisioneros en las naos negreras; y siéntete libre aunque te aten las cadenas.</p> <p>¡Desnúdate!</p> <p>Cualesquiera que sean tu raza, cultura o clase, no olvides que pisas la tierra de América, el Nuevo Mundo, la aurora de la nueva humanidad. Por lo tanto hazte niño. Si encuentras fantasmas extraños —palabra, personaje, trama— tómalos como un desafío a tu imaginación. Olvídate de la academia, de los tiempos verbales, de las fronteras que separan la vida de la muerte, porque en esta saga no hay más huella que la que tú dejes: eres el prisionero, el descubridor, el fundador, el libertador.</p> </div>","/home/febres/Zotero/storage/CNBQ3LBL/chango-el-gran-putas-manuel-zapata.jpg","","","Fiction; African diaspora","","","","","","","","","","","","","","","","","","","","1983","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DUFIIBV6","book","2017","Ferreira da Silva «Ferréz», Reinaldo","Capão Pecado","","978-85-422-0896-2","","","","","2017","2025-04-10 20:00:11","2025-07-10 14:21:37","","","","","","","","","","","","","Objetiva","Rio de Janeiro","pt","","","","","https://www.worldcat.org/title/capao-pecado/oclc/1005080240&referer=brief_results","","Brasil","<div data-schema-version=""8""><p>Capão Redondo, pra mim, mano, é um mundo à parte, é um país com vários estados que são as quebradas: São Luís, Vaz de Lima, Capelinha, Campo Limpo, Rosa, Sabin, Atlântico, Sto. Eduardo, são Bento, Valo Velho, Jangadeiro, Jd. Ângela etc. &nbsp;</p> <p>Rael e cebola jogaram vídeo game até anoitecer. Quando Rael estava quase indo embora, Matcherros acordou e eles começaram a conversar. Combinaram de ir ao baile da News Black Chic, lá no pátio da escola José Olímpio; o som da equipe era muito bom e vinha gente lá do Valo Velho, Piraporinha, Jd. Ingá, Pirajussara, Morro do s, Pq. Regina, Pq. Arariba, São Luís, Buraco do Sapo, Pq. Fernanda e de várias quebradas, pois os bailes e roles noturnos eram cada vez mais raros na periferia. </p> <p>Periferia é tudo igual, não importa o lugar: zona leste, oeste, norte ou sul. Não importa se é no rio de Janeiro, em Minas Gerais, Brasília ou em São Paulo. Enfim, seja lá qual for o lugar, sempre serão os mesmos problemas que desqualificam o povo + pobre, moradores de casas amontoadas umas em cima das outras.</p> </div>","/home/febres/Zotero/storage/DSS4W6HT/capao-pecado.jpg","","","","","","","","","","","","","","","","","","","","","","","2000","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6I62YLFU","book","1877","Obeso, Candelario","Cantos populares de mi tierra","","","","","https://babel.hathitrust.org/cgi/pt?id=hvd.32044050492222&view=1up&seq=7&skin=2021","","1877","2025-04-10 20:00:11","2025-04-10 20:00:11","2022-03-27 23:32:14","","70","","","","","","","","","","Imprenta de Borda","Bogotá","spa","","","HathiTrust","http://hathitrust.org","https://www.worldcat.org/search?q=cantos+populares+de+mi+tierra+candelario&qt=results_page","","Colombia","<div data-schema-version=""6""><p>La noche re una fietas </p> <p>Re Pura i limpia.</p> <p>Caliente taba er baile;</p> <p>Yo retraío,</p> <p>Lleno e la timirece</p> <p>Re un barba-limpio;</p> <p>Maj re repente</p> <p>Vire ciecta picúa</p> <p>Re arto copete.</p> <p>Me enamoré ar momento</p> <p>Re su gacvéza,</p> <p>I junto no soplamos</p> <p>Entre la ruea, </p> <p>A bailá un porro</p> </div>","/home/febres/Zotero/storage/WGHRYY65/populares.jpg","","","","","","","","","","","","","","","","","","","","","","","1877","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7HI9EKKM","book","1966","Arozarena, Marcelino","Cancion negra sin color","","","","","","","1966","2025-04-10 20:00:11","2025-04-10 20:00:11","","","","","","","","","","","","","Cuadernos Unión","La Habana","spa","","","","","https://www.worldcat.org/title/cancion-negra-sin-color/oclc/778125076&referer=brief_results","","Cuba","<div data-schema-version=""8""><p>El fandango</p> <p>de gran rango,</p> <p>que anda en grillo</p> <p>por el trillo tartamudo de vegetal castañuela</p> <p>--eco en fleco;</p> <p> &nbsp; cruz y espuela--</p> <p>es la rumba rimbombante que brina con desespero</p> <p>en los ceros majaderos del bongo.</p> <p></p> <p>Pacatá.</p> <p>Tacatá.</p> <p>Pacatacatacatá.</p> <p>¡Olé! ¡Alsá!</p> </div>","/home/febres/Zotero/storage/QHAWIPPF/color.jpg","","","","","","","","","","","","","","","","","","","","","","","1966","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3A6SBIVY","book","1989","Morejón, Nancy","Baladas para un sueño","","","","","","","1989","2025-04-10 20:00:11","2025-04-10 20:00:11","","","","","","","","","","","","","Unión de Escritores y Artistas de Cuba","La Habana","spa","","","","","https://www.worldcat.org/title/baladas-para-un-sueno/oclc/28284683&referer=brief_results","","Cuba","<div data-schema-version=""8""><p>Eres el amo.</p> <p>Azares y un golpe seco de la historia</p> <p>te hicieron ser mi amo.</p> <p>Tienes la tierra todo</p> <p>y yo tengo la pena.</p> <p>En medio de la noche</p> <p>te alzas como una bestia en celo.</p> <p>Tuyos mi sudor y mis manos.</p> <p>Me has hecho nómada en mis propios confines.</p> <p>Eres el amo</p> <p>y eres esclavo</p> <p>de lo que posees.</p> <p>Eres el amo.</p> <p>Me has despojado de mis cosas</p> <p>pero no de mi canto.</p> <p>¿Qué vas a hacer</p> <p>cuando me alce mañana</p> <p>y recobre mi potro, mi olivo</p> <p>y mis estrellas?</p> </div>","/home/febres/Zotero/storage/GH6E8HKE/baladas.jpg","","","","","","","","","","","","","","","","","","","","","","","1989","","","","","","","","","","","","","","","","","","","","","","","","","",""
