"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"","book","1972","Mendoza, Cristóbal","Escritos del doctor Cristóbal Mendoza (1772-1829): edición conmemorativa del bicentenario del nacimiento del primer presidente de la República de Venezuela","","","","","https://books.google.com/books/download/escritos_del_doctor_cristóbal_mendoza_1772_1829.pdf?id=dEJsAAAAMAAJ&output=pdf","","1972","2025-12-12 16:30:18","2025-12-12 16:30:18","","","276","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=dEJsAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1943","Cabildo, Caracas (Venezuela).","Actas del Cabildo de Caracas ...","","","","","https://books.google.com/books/download/actas_del_cabildo_de_caracas.pdf?id=d9kwAAAAIAAJ&output=pdf","","1943","2025-12-12 16:30:18","2025-12-12 16:30:18","","","470","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=d9kwAAAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1946","Briceño-Iragorry, Mario","Vida y papeles de Urdaneta el joven","","","","","https://books.google.com/books/download/vida_y_papeles_de_urdaneta_el_joven.pdf?id=k4B6AAAAMAAJ&output=pdf","","1946","2025-12-12 16:30:18","2025-12-12 16:30:18","","","334","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=k4B6AAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1931","Montaño, Acisclo Valdivieso","José Tomás Boves","","","","","https://books.google.com/books/download/josé_tomás_boves.pdf?id=Bv8OAAAAQAAJ&output=pdf","","1931","2025-12-12 16:30:18","2025-12-12 16:30:18","","","178","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=Bv8OAAAAQAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1875","Mendoza, José Mondéjar y","Dictámen sobre el método Chervin para la correccion de la tartamudez emitido por disposicion del inspector ... Santiago Ortega y Cañamero","","","","","https://books.google.com/books/download/dictámen_sobre_el_método_chervin_para_la_correccion_de_la_tartamudez_emitido_por_disposicion_del_ins.pdf?id=H9G4QBsxXoIC&output=pdf","","1875","2025-12-12 16:30:18","2025-12-12 16:30:18","","","28","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=H9G4QBsxXoIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1875","Jugo, Francisco de Asís Delgado","Instituto Oftalmológico: exposición presentada al Excm. Señor Ministro de la Gobernación","","","","","https://books.google.com/books/download/instituto_oftalmológico.pdf?id=au5cAAAAcAAJ&output=pdf","","1875","2025-12-12 16:30:18","2025-12-12 16:30:18","","","20","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=au5cAAAAcAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1882","Blanco, Eduardo","Zárate","","","","","http://books.google.com.co/books/download/Z%C3%A1rate.pdf?id=AEMsAAAAYAAJ&hl=&output=pdf&sig=ACfU3U0zcT2fWI4oxmvgKRcDwW65N0_MgQ&source=gbs_api","","1882","2025-12-12 16:30:18","2025-12-12 16:30:18","","","554","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=AEMsAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1875","Blanco, Eduardo","Una noche en Ferrara: o, La penitente de los teatinos : novela original","","","","","https://books.google.com/books/download/una_noche_en_ferrara.pdf?id=kyJJAQAAMAAJ&output=pdf","","1875","2025-12-12 16:30:18","2025-12-12 16:30:18","","","250","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=kyJJAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1883","Blanco, Eduardo","Venezuela heroica: cuadros historicos: La victoria.--San Mateo.--Sitio de Valencia.--Maturín.--Invasión de los seiscientos.--La Casa Fuerte.--San Féliz.--Matasiete.--Las Quesaras.--Boyacá.--Carabobo","","","","","https://books.google.com/books/download/venezuela_heroica.pdf?id=TmhDSet2bHsC&output=pdf","","1883","2025-12-12 16:30:18","2025-12-12 16:30:18","","","632","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=TmhDSet2bHsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1879","Blanco, Eduardo","Lionfort: drama en tres actos","","","","","http://books.google.com.co/books/download/Lionfort.pdf?id=Lew0AAAAIAAJ&hl=&output=pdf&sig=ACfU3U3jwFhH_BtPVbQoTJvSsb0CN2RYUQ&source=gbs_api","","1879","2025-12-12 16:30:18","2025-12-12 16:30:18","","","72","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=Lew0AAAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1881","Blanco, Eduardo","Venezuela heroica: cuadros históricos","","","","","http://books.google.com.co/books/download/Venezuela_heroica.pdf?id=BQcCAAAAYAAJ&hl=&output=pdf&sig=ACfU3U0ULEa6jQqjiaI6FvdBwvLdEn3wEA&source=gbs_api","","1881","2025-12-12 16:30:18","2025-12-12 16:30:18","","","314","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=BQcCAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
