"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"","book","1812","Miranda, Francisco de","Copia de los oficios y proposiciones que se han hecho por parte del Comandante de las tropas caraqueñas Francisco de Miranda y sus Comisionados al Comandante General del Ejército de S.M.C. D. Domingo de Monteverde y de las contestaciones dadas por éste","","","","","http://books.google.com.co/books/download/Copia_de_los_oficios_y_proposiciones_que.pdf?id=-mcobC8YbQYC&hl=&output=pdf&sig=ACfU3U1K_5p7h3XE7wpGtVmMucposTU4Sg&source=gbs_api","","1812","2025-12-09 19:39:49","2025-12-09 19:39:49","","","16","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=-mcobC8YbQYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1810","Miranda, Francisco de","South American Emancipation: Documents, Historical and Explanatory, Shewing the Designs which Have Been in Progress, and the Exertions Made by General Miranda, for the Attainment of that Object During the Last Twenty-five Years","","","","","http://books.google.com.co/books/download/South_American_Emancipation.pdf?id=dEUTAAAAYAAJ&hl=&output=pdf&sig=ACfU3U1r6L29dtHuH3HBFy7hUGTUnAXWRg&source=gbs_api","","1810","2025-12-09 19:39:49","2025-12-09 19:39:49","","","340","","","","","","","","","","","","en","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=dEUTAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1808","Miranda, Francisco de","The History of Don Francisco de Miranda's Attempt to Effect a Revolution in South America, in a Series of Letters. By a Gentleman [James Biggs] who was an Officer Under that General, to His Friend in the United States. To which are Annexed, Sketches of the Life of Miranda, and Geographical Notices of Caraccas","","","","","https://play.google.com/store/books/details?id=WEdgAAAAcAAJ&rdid=book-WEdgAAAAcAAJ&rdot=1&source=gbs_api","","1808","2025-12-09 19:39:49","2025-12-09 19:39:49","","","322","","","","","","","","","","","","en","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=WEdgAAAAcAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1794","Miranda, Francisco de","Original Correspondence between Generals Dumourier, Miranda, Pache, and Beurnonville, Ministers of War since January 1793 ... Translated from the French published by General Miranda","","","","","https://play.google.com/store/books/details?id=MaVYAAAAcAAJ&rdid=book-MaVYAAAAcAAJ&rdot=1&source=gbs_api","","1794","2025-12-09 19:39:49","2025-12-09 19:39:49","","","158","","","","","","","","","","","","en","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=MaVYAAAAcAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1794","Miranda, Francisco de","Original Correspondence Between Generals Dumourier, Miranda, Pache and Beurnonville, Ministers of War, Since January 1793: Including the Orders of General Dumourier to General Miranda, from the Invasion of Holland to the Overthrow of the French, After the Battle of Nerwinden","","","","","http://books.google.com.co/books/download/Original_Correspondence_Between_Generals.pdf?id=xfMJAAAAIAAJ&hl=&output=pdf&sig=ACfU3U0S0xoXdMUbU-Qu90x8b47cjNpNPw&source=gbs_api","","1794","2025-12-09 19:39:49","2025-12-09 19:39:49","","","196","","","","","","","","","","","","en","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=xfMJAAAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1889","Miranda, Francisco de","Miranda dans la révolution française: Recueil de documents authentiques relatifs à l'histoire du général Francisco de Miranda, pendant son séjour en France de 1792 à 1798. Ed. officielle, comparée avec l'édition primitive de 1810 publiée à Londres par ordre du général Miranda ... précédée d'une préface par Arístides Rojas","","","","","http://books.google.com.co/books/download/Miranda_dans_la_r%C3%A9volution_fran%C3%A7aise.pdf?id=L7C0x75EZtUC&hl=&output=pdf&sig=ACfU3U3zhRkwFKT4LuibiOPXKTvRfoV1pw&source=gbs_api","","1889","2025-12-09 19:39:49","2025-12-09 19:39:49","","","438","","","","","","","","","","","","fr","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=L7C0x75EZtUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1889","Miranda, Francisco de","Miranda dans la révolution française: recueil de documents authentiques relatifs à l'histoire du général Francisco de Miranda pendant son séjour en France de 1792 à 1798","","","","","https://play.google.com/store/books/details?id=R-fyfV3qm08C&rdid=book-R-fyfV3qm08C&rdot=1&source=gbs_api","","1889","2025-12-09 19:39:49","2025-12-09 19:39:49","","","424","","","","","","","","","","","","fr","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=R-fyfV3qm08C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1793","Miranda, Francisco de","Miranda a ses concitoyens: Discours que je me proposais de prononcer à la Convention Nationale, le 29 Mars dernier, le lendemain de mon arrivée à Paris","","","","","https://play.google.com/store/books/details?id=Iii07lRss04C&rdid=book-Iii07lRss04C&rdot=1&source=gbs_api","","1793","2025-12-09 19:39:49","2025-12-09 19:39:49","","","26","","","","","","","","","","","","fr","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=Iii07lRss04C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1793","Miranda, Francisco de","Briefwisseling van den generaal Miranda met den generaal Dumourier, en de oorlogsministers Pache en Beurnonville zedert january 1793: de bevelen van den generaal Dumourier aan den generaal Miranda, tot den veldslag van Neerwinden, en den aftocht, die er het gevolg van is geweest","","","","","https://play.google.com/store/books/details?id=TJGJdy3waskC&rdid=book-TJGJdy3waskC&rdot=1&source=gbs_api","","1793","2025-12-09 19:39:49","2025-12-09 19:39:49","","","138","","","","","","","","","","","","nl","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=TJGJdy3waskC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1793","Miranda, Francisco de","Correspondance du général Miranda avec le général Dumourier: les ministres de la guerre, Pache et Beurnonville, depuis janvier 1793","","","","","http://books.google.com.co/books/download/Correspondance_du_g%C3%A9n%C3%A9ral_Miranda_avec.pdf?id=zttNAAAAcAAJ&hl=&output=pdf&sig=ACfU3U112o9Rcoj_B5czevETa0MPVlNteA&source=gbs_api","","1793","2025-12-09 19:39:49","2025-12-09 19:39:49","","","94","","","","","","","","","","","","fr","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=zttNAAAAcAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
