"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"","book","1972","Mendoza, Cristóbal","Escritos del doctor Cristóbal Mendoza (1772-1829): edición conmemorativa del bicentenario del nacimiento del primer presidente de la República de Venezuela","","","","","https://books.google.com/books/download/escritos_del_doctor_cristóbal_mendoza_1772_1829.pdf?id=dEJsAAAAMAAJ&output=pdf","","1972","2025-12-12 21:29:21","2025-12-12 21:29:21","","","276","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=dEJsAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1931","Montaño, Acisclo Valdivieso","José Tomás Boves","","","","","https://books.google.com/books/download/josé_tomás_boves.pdf?id=Bv8OAAAAQAAJ&output=pdf","","1931","2025-12-12 21:29:21","2025-12-12 21:29:21","","","178","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=Bv8OAAAAQAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1882","Blanco, Eduardo","Zárate","","","","","http://books.google.com.co/books/download/Z%C3%A1rate.pdf?id=AEMsAAAAYAAJ&hl=&output=pdf&sig=ACfU3U0zcT2fWI4oxmvgKRcDwW65N0_MgQ&source=gbs_api","","1882","2025-12-12 21:29:21","2025-12-12 21:29:21","","","554","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=AEMsAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1875","Blanco, Eduardo","Una noche en Ferrara: o, La penitente de los teatinos : novela original","","","","","https://books.google.com/books/download/una_noche_en_ferrara.pdf?id=kyJJAQAAMAAJ&output=pdf","","1875","2025-12-12 21:29:21","2025-12-12 21:29:21","","","250","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=kyJJAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1883","Blanco, Eduardo","Venezuela heroica: cuadros historicos: La victoria.--San Mateo.--Sitio de Valencia.--Maturín.--Invasión de los seiscientos.--La Casa Fuerte.--San Féliz.--Matasiete.--Las Quesaras.--Boyacá.--Carabobo","","","","","https://books.google.com/books/download/venezuela_heroica.pdf?id=TmhDSet2bHsC&output=pdf","","1883","2025-12-12 21:29:21","2025-12-12 21:29:21","","","632","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=TmhDSet2bHsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1879","Blanco, Eduardo","Lionfort: drama en tres actos","","","","","http://books.google.com.co/books/download/Lionfort.pdf?id=Lew0AAAAIAAJ&hl=&output=pdf&sig=ACfU3U3jwFhH_BtPVbQoTJvSsb0CN2RYUQ&source=gbs_api","","1879","2025-12-12 21:29:21","2025-12-12 21:29:21","","","72","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=Lew0AAAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1881","Blanco, Eduardo","Venezuela heroica: cuadros históricos","","","","","http://books.google.com.co/books/download/Venezuela_heroica.pdf?id=BQcCAAAAYAAJ&hl=&output=pdf&sig=ACfU3U0ULEa6jQqjiaI6FvdBwvLdEn3wEA&source=gbs_api","","1881","2025-12-12 21:29:21","2025-12-12 21:29:21","","","314","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=BQcCAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1981","Blanco, Andrés Eloy","Andrés Eloy Blanco, parlamentario","","","","","https://books.google.com/books/download/andrés_eloy_blanco_parlamentario.pdf?id=9r0WAQAAMAAJ&output=pdf","","1981","2025-12-12 21:29:21","2025-12-12 21:29:21","","","666","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=9r0WAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1836","Carrillo, Antonio","Difesa della poesia lirica del Manzoni di Antonio Carrillo","","","","","http://books.google.com.co/books/download/Difesa_della_poesia_lirica_del_Manzoni_d.pdf?id=XmwvAAAAYAAJ&hl=&output=pdf&sig=ACfU3U1pmU1QYZPrB175ZDtMRzmYyE8a9A&source=gbs_api","","1836","2025-12-12 21:29:21","2025-12-12 21:29:21","","","92","","","","","","","","","","","","it","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=XmwvAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1838","Carrillo, Antonio","Elogio funebre del cavaliere Emmanuello Dell'Abbadessa dei duchi di Tora scritto da Antonio Carrillo","","","","","https://books.google.com/books/download/elogio_funebre_del_cavaliere_emmanuello_dellabbadessa_dei_duchi_di_tora_scritto_da_antonio_carrillo.pdf?id=-1KUIkU24I0C&output=pdf","","1838","2025-12-12 21:29:21","2025-12-12 21:29:21","","","26","","","","","","","","","","","","it","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=-1KUIkU24I0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1836","Carrillo, Antonio","Elogio funebre di Maria Cristina di Savoja, regina del Regno delle Due Sicilie scritto da Antonio Carrillo","","","","","http://books.google.com.co/books/download/Elogio_funebre_di_Maria_Cristina_di_Savo.pdf?id=5DlkTVGNSBoC&hl=&output=pdf&sig=ACfU3U2AJfOiht4I6Hni_6V55Ig9jZMxUA&source=gbs_api","","1836","2025-12-12 21:29:21","2025-12-12 21:29:21","","","24","","","","","","","","","","","","it","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=5DlkTVGNSBoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1886","Carrillo, Antonio","Elogio funebre di Maria Cristina di Savoja, regina del regno delle Due Sicilie","","","","","http://books.google.com.co/books/download/Elogio_funebre_di_Maria_Cristina_di_Savo.pdf?id=ViguAAAAYAAJ&hl=&output=pdf&sig=ACfU3U0HLq652EwZMy0GGaSH3xE0cihs2Q&source=gbs_api","","1886","2025-12-12 21:29:21","2025-12-12 21:29:21","","","40","","","","","","","","","","","","it","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=ViguAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
