"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"","book","1943","Cabildo, Caracas (Venezuela).","Actas del Cabildo de Caracas ...","","","","","https://books.google.com/books/download/actas_del_cabildo_de_caracas.pdf?id=d9kwAAAAIAAJ&output=pdf","","1943","2025-12-12 21:29:21","2025-12-12 21:29:21","","","470","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=d9kwAAAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1946","Briceño-Iragorry, Mario","Vida y papeles de Urdaneta el joven","","","","","https://books.google.com/books/download/vida_y_papeles_de_urdaneta_el_joven.pdf?id=k4B6AAAAMAAJ&output=pdf","","1946","2025-12-12 21:29:21","2025-12-12 21:29:21","","","334","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=k4B6AAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1875","Mendoza, José Mondéjar y","Dictámen sobre el método Chervin para la correccion de la tartamudez emitido por disposicion del inspector ... Santiago Ortega y Cañamero","","","","","https://books.google.com/books/download/dictámen_sobre_el_método_chervin_para_la_correccion_de_la_tartamudez_emitido_por_disposicion_del_ins.pdf?id=H9G4QBsxXoIC&output=pdf","","1875","2025-12-12 21:29:21","2025-12-12 21:29:21","","","28","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=H9G4QBsxXoIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1875","Jugo, Francisco de Asís Delgado","Instituto Oftalmológico: exposición presentada al Excm. Señor Ministro de la Gobernación","","","","","https://books.google.com/books/download/instituto_oftalmológico.pdf?id=au5cAAAAcAAJ&output=pdf","","1875","2025-12-12 21:29:21","2025-12-12 21:29:21","","","20","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=au5cAAAAcAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1848","Carabobo, VENEZUELA. Army. División","Diario de operaciones de la Division Carabobo, al mando del General José Laurencio Silva","","","","","https://books.google.com/books/download/diario_de_operaciones_de_la_division_carabobo_al_mando_del_general_josé_laurencio_silva.pdf?id=bRhhAAAAcAAJ&output=pdf","","1848","2025-12-12 21:29:21","2025-12-12 21:29:21","","","92","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=bRhhAAAAcAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1681","Xalisco.), Antonio CARRILLO (Procurador General of Santiago de","Begin. Señor. Fray Antonio Carrillo, Procurador General de la Santa Provincia de Santiago de Xalisco, etc. [A memorial to the King of Spain, on the ecclesiastical affairs of that province.]","","","","","https://books.google.com/books/download/begin_señor_fray_antonio_carrillo_procurador_general_de_la_santa_provincia_de_santiago_de_xalisco_et.pdf?id=xp7dXAYzERkC&output=pdf","","1681","2025-12-12 21:29:21","2025-12-12 21:29:21","","","42","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=xp7dXAYzERkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","","(avvocato), Giuseppe avvocato Tucci","Cacace contro Azzariti nella prima camera del tribunal civile di Napoli [Giuseppe Tucci, Antonio Carrillo]","","","","","https://books.google.com/books/download/cacace_contro_azzariti_nella_prima_camera_del_tribunal_civile_di_napoli_giuseppe_tucci_antonio_carri.pdf?id=FgpyfZZzA7EC&output=pdf","","","2025-12-12 21:29:21","2025-12-12 21:29:21","","","18","","","","","","","","","","","","it","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=FgpyfZZzA7EC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1836","Naples.), Antonio CARRILLO (of","Elogio funebre di Maria Cristina di Savoia, Regina del Regno delle due Sicilie, etc","","","","","https://books.google.com/books/download/elogio_funebre_di_maria_cristina_di_savoia_regina_del_regno_delle_due_sicilie_etc.pdf?id=nxvpOOd7JIcC&output=pdf","","1836","2025-12-12 21:29:21","2025-12-12 21:29:21","","","24","","","","","","","","","","","","en","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=nxvpOOd7JIcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1874","Caracas.), Adolf ERNST (of","Clave dicómatica de las familias del reino vegetal, arreglado segun Bentley y otros autores","","","","","https://books.google.com/books/download/clave_dicómatica_de_las_familias_del_reino_vegetal_arreglado_segun_bentley_y_otros_autores.pdf?id=ybcAQK0fe4AC&output=pdf","","1874","2025-12-12 21:29:21","2025-12-12 21:29:21","","","52","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=ybcAQK0fe4AC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1873","Caracas.), Adolf ERNST (of","La Fécula y las plantas farinaceas del Nuevo Mundo","","","","","https://books.google.com/books/download/la_fécula_y_las_plantas_farinaceas_del_nuevo_mundo.pdf?id=hRDr1AEUp8UC&output=pdf","","1873","2025-12-12 21:29:21","2025-12-12 21:29:21","","","22","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=hRDr1AEUp8UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
