"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"","book","","Miranda, Francisco de","Escritos","","9788415348146","","","http://books.google.com.co/books?id=ew55Oi_pUisC&dq=inauthor:%22Francisco+de+Miranda%22&hl=&source=gbs_api","","","2025-12-09 18:34:28","2025-12-09 18:34:28","","","25","","","","","","","","","","Biblioteca Cervantes Virtual","","es","","","Google Books","","","","Venezuela","En esta obra se reúnen diversos textos de Francisco de Miranda, como la carta dirigida al rey Carlos III en 1785, la proclama fechada en Coro a 2 de agosto de 1806 (dirigida a los habitantes del continente americano) o la carta dirigida al ilustre cabildo y ayuntamiento de la ciudad de Buenos Aires en octubre de 1808.","http://books.google.com/books/content?id=ew55Oi_pUisC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1812","Miranda, Francisco de","Copia de los oficios y proposiciones que se han hecho por parte del Comandante de las tropas caraqueñas Francisco de Miranda y sus Comisionados al Comandante General del Ejército de S.M.C. D. Domingo de Monteverde y de las contestaciones dadas por éste","","","","","http://books.google.com.co/books/download/Copia_de_los_oficios_y_proposiciones_que.pdf?id=-mcobC8YbQYC&hl=&output=pdf&sig=ACfU3U1K_5p7h3XE7wpGtVmMucposTU4Sg&source=gbs_api","","1812","2025-12-09 18:34:28","2025-12-09 18:34:28","","","16","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=-mcobC8YbQYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","2010","Miranda, Francisco de","Viajes","","9788498169270","","","https://play.google.com/store/books/details?id=IAutDwAAQBAJ&source=gbs_api","","2010","2025-12-09 18:34:28","2025-12-09 18:34:28","","","247","","","","","","","","","","Linkgua","","es","","","Google Books","","","","Venezuela","Viajes de Francisco de Miranda por Europa, Rusia y Estados Unidos. Fragmento de la obra Viajes por Rusia 12 mayo 1787 Moscú. Tuve visita por la mañana del ayudante mister Besin, teniente coronel en este servicio que me significó que el marechál le prevenía que franquease cuanto yo hubiese de menester. Me hizo traer una berlina a cuatro cabos que cuesta diariamente 4 rublos. Salí a la una a hacer visitas, mas el gobernador no estaba en casa... le dejé mis cartas y un billete, pues ni yo entiendo a mis criados, ni ellos me en tienden a mí... después de otras vine a casa, me hallé serrado y me fui para comer algo en casa del Treteur francés a las tres, mas hallé que su tabla D'hote estaba ya concluida y que la compañía no era de lo más selecta... propuse el que me diesen un poco de sopa en un cuarto separado, pero no le había y me querían servir en el mismo en que estaba toda la compañía indistinta s'il vous plait mister (me decía madame) il ne me plait pas, le respondí, tomé mi coche para irme a casa a dar con un pedazo de jamón que me quedaba de mis provisiones de viaje; el cual, con un poco de leche que añadió mi criado, fue toda mi comida... Verificándose así el pasar tres días sin gustar cosa caliente, excepto el té que solía tomar cada veinticuatro horas; pues no se pudo encontrar que comer a esta hora en las hosterías (mi hospite el mayor no previo sin duda este caso, contando tal vez en que el general gobernador me convidaría a comer, más este no estaba en casa cuando yo llamé). A las cinco p. m. tomé otra vez mi coche y continué mis visitas dejando las cartas (según la nota adjunta) y un billete con ánimo de ir a la comedia a las seis, mas se me hizo tarde y no pude concluir hasta las ocho dadas. ¡O qué extensiva ciudad es esta! pues los jardines, parques y vacíos que en el medio se encuentran son muchísimos. Sin embargo, hay un gran número de muy buenos edificios y palacios construidos en el gusto italiano, francés, inglés, holandés &c y aún en un gusto peculiar, que se conforma muy poco, con el griego y romano. A las nueve volví a casa fatigado, tomé té, leí un poco, &...","http://books.google.com/books/content?id=IAutDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1663","Paz, Francisco de Miranda y","El desengañado: philosophia moral","","","","","https://play.google.com/store/books/details?id=U9lYAAAAcAAJ&source=gbs_api","","1663","2025-12-09 18:34:28","2025-12-09 18:34:28","","","440","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=U9lYAAAAcAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","2010","Miranda, Francisco de","Viaje de La Habana a New Jersey","","9788498970876","","","https://play.google.com/store/books/details?id=6AutDwAAQBAJ&source=gbs_api","","2010","2025-12-09 18:34:28","2025-12-09 18:34:28","","","83","","","","","","","","","","Linkgua","","es","","","Google Books","","","","Venezuela","En febrero de 1783, el Ministro de Indias envió desde Madrid a La Habana la orden de arrestar a Francisco de Miranda. Enterado, Miranda huyó el 1 de junio de 1783, a Estados Unidos. Ese Viaje de La Habana a New Jersey es este libro. En Estados Unidos, Miranda pasa por Charleston, Filadelfia y Boston, y trata con diversos personajes de la alta sociedad en veladas y paseos. Durante el tiempo que estuvo en Estados Unidos, Miranda conoció a George Washington en Filadelfia, al general Henry Knox y a Samuel Adams. Además, visitó el Princeton College y tuvo una impresión favorable.","http://books.google.com/books/content?id=6AutDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1810","Miranda, Francisco de","South American Emancipation: Documents, Historical and Explanatory, Shewing the Designs which Have Been in Progress, and the Exertions Made by General Miranda, for the Attainment of that Object During the Last Twenty-five Years","","","","","http://books.google.com.co/books/download/South_American_Emancipation.pdf?id=dEUTAAAAYAAJ&hl=&output=pdf&sig=ACfU3U1r6L29dtHuH3HBFy7hUGTUnAXWRg&source=gbs_api","","1810","2025-12-09 18:34:28","2025-12-09 18:34:28","","","340","","","","","","","","","","","","en","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=dEUTAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1582","Villafane, Francisco : de Miranda","Dialogos de la phantastica philosophia, de los tres en vn Compuesto, y de las letras, y armas y del honor, donde se contienen varios y apazibles subjectos. En el autor Don Francisco Miranda Villafañe chantre de la Cathedral de Plasencia","","","","","https://play.google.com/store/books/details?id=l33tT4TDKLkC&source=gbs_api","","1582","2025-12-09 18:34:28","2025-12-09 18:34:28","","","306","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=l33tT4TDKLkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1784","Miranda, Francisco de Sá “de”","Obras","","","","","https://play.google.com/store/books/details?id=v5ELTenyLo4C&source=gbs_api","","1784","2025-12-09 18:34:28","2025-12-09 18:34:28","","","338","","","","","","","","","","","","pt-BR","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=v5ELTenyLo4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","2018","Autores, Varios","Proyecto de Constitución para las Colonias Hispano-Americanas","","9788499539485","","","https://play.google.com/store/books/details?id=WPisDwAAQBAJ&source=gbs_api","","2018","2025-12-09 18:34:28","2025-12-09 18:34:28","","","29","","","","","","","","","","Linkgua","","es","","","Google Books","","","","Venezuela","En este Proyecto de Constitución para las Colonias Hispano-Americanas Francisco de Miranda describe, en 1798, la construcción de un inmenso estado que abarcaría el continente. El proyecto también contemplaba la construcción de un canal de navegación en el istmo de Panamá, la promulgación de un imperio y un parlamento bicameral. Fragmento de la obra Del Mississippi al Cabo De Hornos Del Territorio El Estado que integrarán las Colonias hispanoamericanas tendrá los siguientes límites: en la parte norte, la Iínea que pase por el medio río Mississippi desde la desembocadura hasta la cabecera del mismo y partiendo de ella siguiendo la misma linea recta en dirección del oeste por el 45 de latitud septentrional hasta unirse con el mar Pacífico. Al oeste, el Océano Pacífico desde el punto arriba señalado hasta el Cabo de Hornos incluyendo las islas que se encuentran a diez grados de distancia de dicha costa. Al este, el Atlántico desde el Cabo de Hornos hasta el golfo de México y desde allí hasta la desembocadura del río Mississippi. No están comprendidas en estas demarcaciones Brasil y Guayana. Respecto de las islas ubicadas a lo largo de esta costa, ellas no formarán parte de este Estado, puesto que el ya bastante extenso continente ha de ser suficiente para una potencia meramente terrestre y agrícola. Sin embargo, y como excepción, se conservará la isla de Cuba en razón de que el puerto de La Habana es la llave del golfo de México.","http://books.google.com/books/content?id=WPisDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","2010","Miranda, Francisco de","Viajes por Rusia e Italia","","9788498977561","","","https://play.google.com/store/books/details?id=3_asDwAAQBAJ&source=gbs_api","","2010","2025-12-09 18:34:28","2025-12-09 18:34:28","","","167","","","","","","","","","","Linkgua","","es","","","Google Books","","","","Venezuela","Viajes por Rusia e Italia relata un viaje de Francisco de Miranda por ambos países. Miranda, uno de los líderes de la historia de Venezuela, traza aquí un fresco de la sociedad rusa del siglo XVIII. Con este tipo de libros se inaugura algo que casi se puede considerar un nuevo género: el viaje en sentido inverso, la visión del mundo relatada por los nativos en el continente americano. Cabe añadir que el ciclo de textos de viaje de Miranda comprende además a Europa Occidental y Estados Unidos.","http://books.google.com/books/content?id=3_asDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
