"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"","book","1812","Miranda, Francisco de","Copia de los oficios y proposiciones que se han hecho por parte del Comandante de las tropas caraqueñas Francisco de Miranda y sus Comisionados al Comandante General del Ejército de S.M.C. D. Domingo de Monteverde y de las contestaciones dadas por éste","","","","","http://books.google.com.co/books/download/Copia_de_los_oficios_y_proposiciones_que.pdf?id=-mcobC8YbQYC&hl=&output=pdf&sig=ACfU3U1K_5p7h3XE7wpGtVmMucposTU4Sg&source=gbs_api","","1812","2025-12-09 19:35:10","2025-12-09 19:35:10","","","16","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=-mcobC8YbQYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1663","Paz, Francisco de Miranda y","El desengañado: philosophia moral","","","","","https://play.google.com/store/books/details?id=U9lYAAAAcAAJ&rdid=book-U9lYAAAAcAAJ&rdot=1&source=gbs_api","","1663","2025-12-09 19:35:10","2025-12-09 19:35:10","","","440","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=U9lYAAAAcAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1810","Miranda, Francisco de","South American Emancipation: Documents, Historical and Explanatory, Shewing the Designs which Have Been in Progress, and the Exertions Made by General Miranda, for the Attainment of that Object During the Last Twenty-five Years","","","","","http://books.google.com.co/books/download/South_American_Emancipation.pdf?id=dEUTAAAAYAAJ&hl=&output=pdf&sig=ACfU3U1r6L29dtHuH3HBFy7hUGTUnAXWRg&source=gbs_api","","1810","2025-12-09 19:35:10","2025-12-09 19:35:10","","","340","","","","","","","","","","","","en","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=dEUTAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1582","Villafane, Francisco : de Miranda","Dialogos de la phantastica philosophia, de los tres en vn Compuesto, y de las letras, y armas y del honor, donde se contienen varios y apazibles subjectos. En el autor Don Francisco Miranda Villafañe chantre de la Cathedral de Plasencia","","","","","https://play.google.com/store/books/details?id=l33tT4TDKLkC&rdid=book-l33tT4TDKLkC&rdot=1&source=gbs_api","","1582","2025-12-09 19:35:10","2025-12-09 19:35:10","","","306","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=l33tT4TDKLkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1784","Miranda, Francisco de Sá “de”","Obras","","","","","https://play.google.com/store/books/details?id=v5ELTenyLo4C&rdid=book-v5ELTenyLo4C&rdot=1&source=gbs_api","","1784","2025-12-09 19:35:10","2025-12-09 19:35:10","","","338","","","","","","","","","","","","pt-BR","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=v5ELTenyLo4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1582","Villafane, Francisco de Miranda","Dialogos Dela Phantastica Philosophia, De los tres en vn Compuesto, y de las Letras, y Armas, y del Honor, donde se contienen varios y apazibles subjectos","","","","","https://play.google.com/store/books/details?id=W_NbAAAAcAAJ&rdid=book-W_NbAAAAcAAJ&rdot=1&source=gbs_api","","1582","2025-12-09 19:35:10","2025-12-09 19:35:10","","","306","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=W_NbAAAAcAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1636","Paz, Francisco de Miranda y","Discurso sobre si se le puede hazer fiesta al primer padre del genero humano Adan y darle culto... como a santo sin licencia del romano pontifice y un resumen latino suplicando a... Urbano VIII. .. decreto sobre esta materia...","","","","","http://books.google.com.co/books/download/Discurso_sobre_si_se_le_puede_hazer_fies.pdf?id=k1-co7_4_yUC&hl=&output=pdf&sig=ACfU3U3uR625G712fZuvUJ3jxeCcF6djTQ&source=gbs_api","","1636","2025-12-09 19:35:10","2025-12-09 19:35:10","","","272","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=k1-co7_4_yUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1636","PAZ, Francisco de MIRANDA Y.","Discurso sobre, Si se le puede hazer fiesta al primer padre del genero humano Adan, y dar le culto y veneracion pubblica como a Santo, etc","","","","","https://play.google.com/store/books/details?id=i_u6uXWSA3AC&rdid=book-i_u6uXWSA3AC&rdot=1&source=gbs_api","","1636","2025-12-09 19:35:10","2025-12-09 19:35:10","","","272","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=i_u6uXWSA3AC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1636","Paz, Francisco de Miranda y","Discurso sobre si se le puede hazer fiesta al primer padre del genero humano, Adan, y dar le culto y veneracion publica como a santo, sin licencia del Romano Pontifice","","","","","http://books.google.com.co/books/download/Discurso_sobre_si_se_le_puede_hazer_fies.pdf?id=H9BLGfd0XoUC&hl=&output=pdf&sig=ACfU3U1HFV4hqyDvyx7AZlyrTUxN7RMRgA&source=gbs_api","","1636","2025-12-09 19:35:10","2025-12-09 19:35:10","","","278","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=H9BLGfd0XoUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1808","Miranda, Francisco de","The History of Don Francisco de Miranda's Attempt to Effect a Revolution in South America, in a Series of Letters. By a Gentleman [James Biggs] who was an Officer Under that General, to His Friend in the United States. To which are Annexed, Sketches of the Life of Miranda, and Geographical Notices of Caraccas","","","","","https://play.google.com/store/books/details?id=WEdgAAAAcAAJ&rdid=book-WEdgAAAAcAAJ&rdot=1&source=gbs_api","","1808","2025-12-09 19:35:10","2025-12-09 19:35:10","","","322","","","","","","","","","","","","en","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=WEdgAAAAcAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
